,Product_name,Product_price,Product_buy_link
47,Creative  Goddess Dessert Coffee and Sand Ice Stirring Mug Metal Spoon for Christmas Gift,RM2.72 - RM2.74,https://shopee.com.my//Creative-Goddess-Dessert-Coffee-and-Sand-Ice-Stirring-Mug-Metal-Spoon-for-Christmas-Gift-i.32812784.3952935843?position=47
48,TYPO Mug Anytime Mug / Daily Mug / ALPHA DAILY MUG - PART 2/2 Rubi all day Mug,RM17.00 - RM30.00,https://shopee.com.my//TYPO-Mug-Anytime-Mug-Daily-Mug-ALPHA-DAILY-MUG-PART-2-2-Rubi-all-day-Mug-i.62380410.2964402179?position=48
49,Reusable Coffee Tea Cup Random Color Wheat Straw Mug Coffee Cup With Lid Home Outdoor Water Bottle Travel Insulated Cup,RM8.90 - RM10.90,https://shopee.com.my//Reusable-Coffee-Tea-Cup-Random-Color-Wheat-Straw-Mug-Coffee-Cup-With-Lid-Home-Outdoor-Water-Bottle-Travel-Insulated-Cup-i.283364640.9902107005?position=49
50,Thermos 0.50L Stainless Steel Vacuum Mug with Handle and Strainer (TCMF-501),RM144.00 - RM160.00,https://shopee.com.my//Thermos-0.50L-Stainless-Steel-Vacuum-Mug-with-Handle-and-Strainer-(TCMF-501)-i.33356612.1493770586?position=50
51,Weight 380G Thick 11oz Extra White/Flah Black /Color Ceramic Mug(1pcs/3pcs),RM3.90 - RM15.40,https://shopee.com.my//Weight-380G-Thick-11oz-Extra-White-Flah-Black-Color-Ceramic-Mug(1pcs-3pcs)--i.29637884.5587223794?position=51
52,"304 stainless steel vacuum coffee mug, stainless steel vacuum tumbler, insulation mug, gelas vakum, cawan vakum kopi",RM15.90,https://shopee.com.my//304-stainless-steel-vacuum-coffee-mug-stainless-steel-vacuum-tumbler-insulation-mug-gelas-vakum-cawan-vakum-kopi-i.48059841.9723404176?position=52
53,Oatmeal Cup Breakfast Cup With Lid Mug Oatmeal Spoon Cup Microwavable Milk Cup Portable Miso Soup Cup,RM12.50,https://shopee.com.my//-Oatmeal-Cup-Breakfast-Cup-With-Lid-Mug-Oatmeal-Spoon-Cup-Microwavable-Milk-Cup-Portable-Miso-Soup-Cup-i.34212290.8042743660?position=53
54,Korea Simple Big Capacity Ceramic Mug Ceramic Coffee Water Tea Cup Cream Yellow Drinkware Creative Household Cups,RM13.60,https://shopee.com.my//Korea-Simple-Big-Capacity-Ceramic-Mug-Ceramic-Coffee-Water-Tea-Cup-Cream-Yellow-Drinkware-Creative-Household-Cups-i.440927214.4288705429?position=54
55,Self Mixing Cups Automatic Electric Mug Stirring Coffee Cup,RM7.46,https://shopee.com.my//Self-Mixing-Cups-Automatic-Electric-Mug-Stirring-Coffee-Cup-i.373526350.4978771896?ads_keyword=self%20stirring%20mug&adsid=25157360&campaignid=14365145&position=55
56,NEW ARRIVALBLACK FINE PORCELAIN MUG SET 6/12PCS,RM40.00 - RM79.00,https://shopee.com.my//NEW-ARRIVALBLACK-FINE-PORCELAIN-MUG-SET-6-12PCS-i.93281206.9001747264?ads_keyword=wkdaelpmissisiht&adsid=14637899&campaignid=8106385&position=56
57,TRENDINGCOWAY MUG NEW LOGO 2021(Change Your Life),RM13.50,https://shopee.com.my//TRENDINGCOWAY-MUG-NEW-LOGO-2021(Change-Your-Life)-i.353688557.8014560139?ads_keyword=wkdaelpmissisiht&adsid=17163064&campaignid=9573978&position=57
58,ZEEGO Double Wall Glass Cup Cute Bear Coffee Mug Milk Mug Juice Drinkware Heat-Resistant Tea Cup High Borosilicate Glass,RM5.50 - RM14.50,https://shopee.com.my//ZEEGO-Double-Wall-Glass-Cup-Cute-Bear-Coffee-Mug-Milk-Mug-Juice-Drinkware-Heat-Resistant-Tea-Cup-High-Borosilicate-Glass-i.389577304.3084734088?ads_keyword=mug&adsid=27108690&campaignid=15545352&position=58
59,"SW_Coffee Mug Warmer with Stainless Steel Leaf Spoon and Cup, Auto Shut On/Off Beverage Warmers, Smart Cup Warmer Pad",RM18.90,https://shopee.com.my//SW_Coffee-Mug-Warmer-with-Stainless-Steel-Leaf-Spoon-and-Cup-Auto-Shut-On-Off-Beverage-Warmers-Smart-Cup-Warmer-Pad-i.325288420.8614728644?ads_keyword=mug&adsid=19618403&campaignid=11117748&position=59
